# Copyright (C) 2018  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 18.1.0 Build 625 09/12/2018 SJ Lite Edition
# File: C:\git\VHDL_klocka\VHDL_klock.csv
# Generated on: Wed Jun 08 11:14:56 2022

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation
clk,Input,PIN_M9,3B,B3B_N0,PIN_M16,,,,,,,,,,,,,,
func_sw,Input,PIN_AB12,4A,B4A_N0,PIN_G17,,,,,,,,,,,,,,
h_key_n,Input,PIN_M6,3A,B3A_N0,PIN_Y20,,,,,,,,,,,,,,
hex[0],Output,,,,,,,,,,,,,,,,,,
hex[1],Output,,,,,,,,,,,,,,,,,,
hex[2],Output,,,,,,,,,,,,,,,,,,
hex[3],Output,,,,,,,,,,,,,,,,,,
hex[4],Output,,,,,,,,,,,,,,,,,,
hex[5],Output,,,,,,,,,,,,,,,,,,
hex[0][0],Output,PIN_N9,3B,B3B_N0,PIN_M7,,,,,,,,,,,,,,
hex[0][1],Output,PIN_M8,3B,B3B_N0,PIN_A13,,,,,,,,,,,,,,
hex[0][2],Output,PIN_T14,4A,B4A_N0,PIN_AA12,,,,,,,,,,,,,,
hex[0][3],Output,PIN_P14,4A,B4A_N0,PIN_V10,,,,,,,,,,,,,,
hex[0][4],Output,PIN_C1,2A,B2A_N0,PIN_P6,,,,,,,,,,,,,,
hex[0][5],Output,PIN_C2,2A,B2A_N0,PIN_T7,,,,,,,,,,,,,,
